"Proposed_Model","Skin_Task","Architecture_Type","Combines_Methods","Main_Objective","Feature_Extraction","Cancer_Type","Database_Used","Number_Images","Balanced_Dataset","Image_Preprocessing","Validation_Type","Transfer_Learning","Data_Augmentation","Compared_Baselines","Evaluation_Metrics","Best_Result","Compared_SOTA","Tested_Different_Datasets","Limitations","Document Title"
"Inception, VGG16, and DenseNet","Yes","New","No","Classification","Yes","Various","Not informed","Not informed","Not informed","Not informed","Cross-validation and separate dataset tests","Yes","Not informed","Yes","Sensitivity, Specificity, Accuracy","93.33% (DenseNet)","Yes","Yes","Not informed","Cutting-edge Deep Learning Solutions for Precise Identification and Definition of Skin Cancer Lesions"
"EfficientNet with ESRGAN for image enhancement","Yes","Adaptation","Yes","Classification","Yes","Various","HAM10000 dataset","Not informed","Not informed","ESRGAN for image enhancement","Not informed","Yes","Not informed","No","Accuracy, Recall, AUC, F1-score, Precision, ROC, Fairness evaluation metrics","Not informed","No","No","Not informed","Development of Dermatological Lesion Detection System Using EfficientNet with Fairness Evaluation"
"GAN-Based Synthetic Data Augmentation using StyleGAN2","Yes","Adaptation","No","Classification","Not informed","Various","Not informed","Not informed","No","GAN-based data augmentation","Experimental evaluation","Not informed","Yes, using GANs","Yes, comparison of four GAN architectures","Classification improvement, visual analysis of generated samples","StyleGAN2 showed improved classification results","No","Not informed","Amplification of existing biases in datasets, computational costs and associated risks","Bias Inheritance and its Amplification in GAN-Based Synthetic Data Augmentation for Skin Lesion Classification"
"Attention Enhanced Inception-V3 (AEIV3)","Yes","New","Yes","Classification","Yes","Various","PAD UFES 20 dataset","Not informed","Yes, through pre-processing techniques","Rigorous pre-processing techniques for balanced class distributions","Experimental evaluation","Yes, with fine-tuning","Not informed","Yes, compared to existing algorithms","Accuracy score","99.58% accuracy","Yes","No","Not informed","Attention Enhanced Inception-V3: A Multi-Scale Feature Fusion Network for Skin Lesion Detection with Explainable Artificial Intelligence"
"Lightweight Deep Transfer Learning using MobileNet and NasNet variants","Yes","Adaptation","Yes","Classification","Yes, using deep-features mining and Bat Algorithm (BA) for features reduction","Melanoma","Not informed","Not informed","Not informed","Data collection and preprocessing","Experimental evaluation","Yes, using MobileNetV2 and NasNetMobile","Not informed","Yes, comparison of MobileNetV2 and NasNetMobile based detection","Accuracy score","98% accuracy with serially integrated deep-features based detection using Support Vector Machine classifier","No","Not informed","Not informed","Benign/Malignant Skin Melanoma Detection from Dermoscopy Images using Lightweight Deep Transfer Learning"
"Multimodal ensemble neural network system","Yes","New","Yes, using ensemble learning","Classification","Not informed","Melanoma and pigmented skin lesions","Heterogeneous dermatological data","Not informed","Not informed","Not informed","Experimental evaluation","Not informed","Not informed","Yes, comparison with individual multimodal architectures","Accuracy score","85.92% accuracy","No","Not informed","Not informed","Multimodal ensemble neural network system for skin cancer detection on heterogeneous dermatological data; [Мультимодальная ансамблевая нейросетевая система обнаружения рака кожи на основе анализа гетерогенных дерматологических данных]"
"Prototypes Contrastive Learning (PCL) empowered intelligent diagnosis mechanism","Yes","New","Yes, using federated learning and contrastive learning","Classification","Not informed","Various skin lesions","Heterogeneous skin lesion data sets","Not informed","Not informed","Not informed","Simulation results","Not informed","Not informed","No","Training efficiency and mitigation of adverse impact of heterogeneity","Effective mitigation of adverse impact of heterogeneity skin lesion data sets and efficient FL training","No","Not informed","Not informed","Prototypes Contrastive Learning Empowered Intelligent Diagnosis for Skin Lesion"
"Convolutional Neural Networks (CNN)","Yes","Existing","No","Classification","Yes, using various feature extraction techniques","Melanoma and non-melanoma skin cancers","Not informed","Not informed","Not informed","Not informed","Evaluation, precision, and accuracy comparison","Not informed","Not informed","Yes, compared with other deep learning methods (ANN, FCN, MobileNet, ResNet, SVM)","Precision, accuracy, and evaluation metrics","CNN is the most effective algorithm producing the greatest results","No","Not informed","Not informed","Analysis of Different CNN Algorithms to Detect Dermatological Issues"
"OSSAE-BPNN (Optimized Stacked Sparse Autoencoder and Backpropagation Neural Network)","Yes","New","Yes, using OSSAE for feature extraction and BPNN for classification","Classification","Yes, using Optimized Stacked Sparse Autoencoder (OSSAE)","Benign or malignant skin lesions","Standard dataset (not specified)","Not informed","Not informed","Multi-level thresholding segmentation methodology","Extensive testing on a standard dataset","Not informed","Not informed","Yes, compared with other current methods","Range of evaluation parameters (not specified)","OSSAE-BPNN methodology performed better than other current methods","No","Not informed","Not informed","Automated Skin Lesion Analysis and Classification Using AI"
"ClearKD (Clear Knowledge Distillation)","Yes","New","No","Classification","Not informed","Skin lesions and brain tumor","ISIC2019 (skin lesions) and brain tumor dataset","Not informed","Not informed","Not informed","Experimental results on ISIC2019 and brain tumor datasets","Yes, using knowledge distillation to transfer knowledge from teacher network to student network","Not informed","Yes, compared with existing state-of-the-art knowledge distillation methods","Performance comparison on medical image classification tasks","ClearKD outperforms existing state-of-the-art knowledge distillation methods","Yes","Yes, tested on ISIC2019 and brain tumor datasets","Not informed","ClearKD: Clear Knowledge Distillation for Medical Image Classification"
