"Proposed_Model","Skin_Task","Architecture_Type","Combines_Methods","Main_Objective","Feature_Extraction","Cancer_Type","Database_Used","Number_Images","Balanced_Dataset","Image_Preprocessing","Validation_Type","Transfer_Learning","Data_Augmentation","Compared_Baselines","Evaluation_Metrics","Best_Result","Compared_SOTA","Tested_Different_Datasets","Limitations","Document Title"
"Adaptive Regularized Kernel Based Fuzzy algorithm","Yes","New","No","Segmentation","Yes","Melanoma","ISIC archive","232","Not informed","Yes","Not informed","No","Not informed","No","Not informed","Not informed","No","No","","Skin lesion detection using adaptive regularized kernel based fuzzy algorithm"
"Depthwise Separable Convolutional Neural Network","Yes","New","No","Classification","Not informed","Melanoma","ISIC 2018 dataset","12 images","Not informed","No pre-processing methods used","Test data","Not informed","Not informed","Yes","Accuracy, Sensitivity and Specificity","87.24% accuracy, 95.94% sensitivity and 98.47% specificity","Comparable to widely-used architectures in literature","No","Not informed","Depthwise Separable Convolutional Neural Network for Skin Lesion Classification"
"Fully Convolutional Network with Dense Pooling Layers","Yes","New","No","Segmentation","Not informed","Melanoma and Skin Cancer","Skin lesion datasets (not specified)","63 images","Not informed","Not informed","Not informed","Not informed","Not informed","Yes (outperforms state-of-the-art algorithms)","Accuracy and border detection phase performance metrics not specified","Highly accurate segmentation of lesions on skin lesion datasets","Yes","No (only tested on skin lesion datasets)","Not informed","Dense pooling layers in fully convolutional network for skin lesion segmentation"
"MobileNet and DenseNet-121","Yes","Adaptation","No","Classification","Not informed","Various","HAM10000 dataset","49","Yes","Down sampling, splitting and augmentation","Three phases: preprocessing, training and evaluation","Pre-trained models (MobileNet and DenseNet-121)","Not informed","Yes","Precision, recall, F1-score, specificity and ROC AUC; micro-average and macro-average of all previous metrics to extend to multi-classification","92.7% (MobileNet after balancing dataset)","Outperformed the highest accuracy of ISIC 2018 challenge on the same dataset by 4.2%","No","Not informed","Enhanced Skin Lesions Classification Using Deep Convolutional Networks"
"auto-sklearn and TPOT","Not informed","Adaptation","No","Forecasting","Yes","Not informed","UCI data repository and industrial office building consumption data","Not informed","Not informed","Not informed","Benchmark problems","No","Not informed","Yes","Prediction accuracy","Great potential for improving the accuracy of energy consumption prediction","Yes","No","Not informed","Automated Machine Learning for Short-term Electric Load Forecasting"
"Faster R-CNN network model","No","New","Yes","Segmentation","Yes","Various","Deeplesion dataset","Not informed","Not informed","Denoising and enhancement","Not informed","Not informed","Not informed","No","Not informed","Not informed","Yes","No","Misdetection of missed detection","Generalized lesion detector based on convolutional neural network"
"Multi-Pooling Attention Learning","Yes","New","No","Classification","Yes","Melanoma","ISIC2017 dataset","Not informed","Not informed","Not informed","Leaderboard and other methods comparison","Not informed","Not informed","Yes","Performance on ISBI 2017 challenge leaderboard","Superior performance over six top-ranking approaches and five other methods","Yes","No","Not informed","Multi-Pooling Attention Learning for Melanoma Recognition"
"ABCD rule","Yes","New","No","Classification","Yes","Melanoma","Not informed","200","No","Hair removal using morphological filter and thresholding","Not informed","Not informed","Not informed","Yes","Accuracy, Specificity, Sensitivity","93.2% Accuracy","No","No","Not informed","Melanoma Skin Cancer Detection Based on ABCD Rule"
"MobileNet convolution neural network","Yes","Adaptation","No","Classification","Yes","Various","HAM1000 skin lesion dataset","Not informed","Not informed","Not informed","Not informed","Yes","Not informed","No","Categorical accuracy, precision and recall","0.97 Categorical Accuracy","No","No","Not informed","Classification of skin cancer dermoscopy images using transfer learning"
"Modification of SegNet neural networks","Yes","Adaptation","No","Segmentation","Not informed","Melanoma","ISIC 2017 dataset","24","Not informed","Yes (noise reduction)","Dice coefficient and Jaccard indexes","No","Not informed","No","Dice coefficient, Jaccard index","Desired performances (not specified)","Yes","No","Not informed","Skin lesion segmentation based on modification of SegNet neural networks"
"Deep Convolutional Neural Network (CNN)","Yes","Adaptation","No","Classification","Not informed","Various","Not informed","Not informed","Not informed","Yes","Not informed","Yes","Yes","No","F1-score (0.83)","0.83 F1-score","Not informed","No","None","The application of deep learning on fast skin cancer diagnosis"
"Multiple Random Walker (MRW) and deep learning approaches","Yes","Adaptation","No","Segmentation","Not informed","Melanoma","Dermoscopy images","10","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Not informed","Not informed","No","No","","Medical image learning from a few/few training samples: Melanoma segmentation study"
"Modified Inception-v4","Yes","Adaptation","No","Classification","Yes","Various","HAM10000 dataset and ISIC2018 datasets","40 images (test set)","No, imbalanced dataset","Not informed","Official benchmark for the International Skin Imaging Collaboration (ISIC) 2018","Not informed","Not informed","Yes, compared with ensemble of multiple complex models","Accuracy","94.7% Accuracy on the test set at ISIC2018 benchmark","No information available about comparison to state-of-the-art methods","Yes, tested with HAM10000 dataset and ISIC2018 datasets","Data imbalance effect mitigated using data sampling approach","A modified inception-v4 for imbalanced skin cancer classification dataset"
"Convolution Neural Network (CNN)","Yes","New","No","Classification","Not informed","Various","Not informed","25 images per epoch, total of 625 images (not specified)","Not informed","Not informed","Epochs: 25","No","Not informed","Yes (compared to other related works)","Accuracy, Training Accuracy and Validation Accuracy","0.9867 for BCC Vs SK classification","No specific comparison with state-of-the-art methods mentioned in the text.","Not informed (only tested on a single dataset)","The article does not mention any limitations of the proposed method.","Skin lesion classification using convolution neural networks"
"Convolutional neural network (CNN) with transfer learning","Yes","Adaptation","No","Classification","Yes","Melanoma","ISIC2018 dataset","Not informed","Not informed","Not informed","Not informed","Yes","Not informed","No","Accuracy","11% increase in accuracy using transfer learning","Promising performance compared to existing works","Yes (ISIC2018 dataset)","Not informed","Convolutional neural network based skin lesion analysis for classifying melanoma"
"Single Shot Detector (SSD) and Level Set Segmentation Technique","Yes","New","No","Segmentation","Not informed","Melanoma","ISBI 2016 challenge dataset (Skin Lesion Analysis Towards Melanoma Detection Challenge Dataset)","Not informed","Not informed","Yes","Not informed","Not informed","Not informed","Yes","Jc, Di and Ac (0.82, 0.901 and 0.90 respectively)","Not informed","Yes","No","Not informed","Segmenting melanoma Lesion using Single Shot Detector (SSD) and Level Set Segmentation Technique"
"DermoNet","Yes","New","No","Segmentation","Not informed","Various","ISBI 2016, ISBI 2017, PH2 datasets","43","Not informed","Not informed","Quantitative evaluation on three public benchmark datasets","Not informed","Not informed","Yes","Accuracy (outperforms state-of-the-art algorithms)","Outperformed state-of-the-art algorithms on three datasets","Yes","No","","DermoNet: densely linked convolutional neural network for efficient skin lesion segmentation"
"Probabilistic Neural Network (PNN)","Yes","New","No","Classification","Yes","Melanoma","Not informed","Not informed","Not informed","Yes","Not informed","Not informed","Not informed","No","Not informed","Not informed","No","No","","Detection of Skin Cancer Lesions from Digital Images with Image Processing Techniques"
"Kernel sparse representation based model","Yes","New","No","Classification and Segmentation","Yes","Melanoma","Dermoscopic and digital datasets","Not informed","Not informed","No pre-processing needed","Not informed","Not informed","Not informed","Yes","Competitive with state-of-the-art methods","49% accuracy on dermoscopic and digital datasets","Yes","No","Insensitive to noise and image conditions","Kernel sparse representation based model for skin lesions segmentation and classification"
"Multi-tree Genetic Programming (GP)","Yes","New","Yes","Classification","Yes","Various","Not informed","13 images","Not informed","Wavelet-based texture features from multiple color channels, Local Binary Pattern, lesion color variation, and geometrical border shape features are also extracted.","Not informed","Not informed","Not informed","Yes","Accuracy (not specified)","Significantly outperformed all classification methods, but specific result not provided.","Yes","No","","Genetic Programming for Multiple Feature Construction in Skin Cancer Image Classification"
"Dragonfly optimization-based Deep Neural Network","Yes","Adaptation","No","Classification","Yes","Various","Not informed","15","Not informed","Level set approach-based segmentation","SVM, ANN for different evaluation metrics such as accuracy, sensitivity, and specificity","No","Not informed","Yes","Accuracy; Sensitivity; Specificity","Not informed","Yes","No","Not informed","An Enhanced Model for Skin Disease Detection using Dragonfly Optimization based Deep Neural Network"
